gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[1 0],VF[1 1],VF[1 2],VF[2 0],VF[2 1],VF[2 2],VF[3 0],VF[3 1],VF[3 2],VF[4 0],VF[4 1],VF[4 2]
0,0,-5010,-5010,-5010,-5008.49,-5008.49,-5008.49,-5007.33,-5007.33,-5007.33,-5006.43,-5006.43,-5006.43,-5005.72,-5005.72,-5005.72
1,0.0468873,-164.247,-164.247,-164.247,-162.86,-162.86,-162.86,-161.762,-161.762,-161.762,-160.893,-160.893,-160.893,-160.2,-160.2,-160.2
2,0.0951487,-54.73,-54.73,-54.73,-53.449,-53.449,-53.449,-52.4086,-52.4086,-52.4086,-51.5704,-51.5704,-51.5704,-50.8945,-50.8945,-50.8945
3,0.144824,-30.1538,-30.1538,-30.1538,-28.9618,-28.9618,-28.9618,-27.9739,-27.9739,-27.9739,-27.1648,-27.1648,-27.1648,-26.5061,-26.5061,-26.5061
4,0.195956,-20.8869,-20.8869,-20.8869,-19.7734,-19.7734,-19.7734,-18.8338,-18.8338,-18.8338,-18.0525,-18.0525,-18.0525,-17.4103,-17.4103,-17.4103
5,0.248585,-16.3956,-16.3956,-16.3956,-15.3539,-15.3539,-15.3539,-14.4575,-14.4575,-14.4575,-13.7027,-13.7027,-13.7027,-13.076,-13.076,-13.076
6,0.302757,-13.8589,-13.8589,-13.8589,-12.882,-12.882,-12.882,-12.0265,-12.0265,-12.0265,-11.2971,-11.2971,-11.2971,-10.6856,-10.6856,-10.6856
7,0.358517,-12.2695,-12.2695,-12.2695,-11.349,-11.349,-11.349,-10.5337,-10.5337,-10.5337,-9.82809,-9.82809,-9.82809,-9.23165,-9.23165,-9.23165
8,0.41591,-11.196,-11.196,-11.196,-10.3286,-10.3286,-10.3286,-9.54654,-9.54654,-9.54654,-8.86415,-8.86415,-8.86415,-8.28177,-8.28177,-8.28177
9,0.474986,-10.4244,-10.4244,-10.4244,-9.60514,-9.60514,-9.60514,-8.85586,-8.85586,-8.85586,-8.1951,-8.1951,-8.1951,-7.62705,-7.62705,-7.62705
10,0.535792,-9.84345,-9.84345,-9.84345,-9.06735,-9.06735,-9.06735,-8.35036,-8.35036,-8.35036,-7.71017,-7.71017,-7.71017,-7.1553,-7.1553,-7.1553
11,0.598381,-9.38995,-9.38995,-9.38995,-8.65377,-8.65377,-8.65377,-7.9648,-7.9648,-7.9648,-7.34496,-7.34496,-7.34496,-6.80346,-6.80346,-6.80346
12,0.662804,-9.02417,-9.02417,-9.02417,-8.32359,-8.32359,-8.32359,-7.66212,-7.66212,-7.66212,-7.06129,-7.06129,-7.06129,-6.53263,-6.53263,-6.53263
13,0.729114,-8.72034,-8.72034,-8.72034,-8.05419,-8.05419,-8.05419,-7.41753,-7.41753,-7.41753,-6.83524,-6.83524,-6.83524,-6.31902,-6.31902,-6.31902
14,0.797368,-8.46115,-8.46115,-8.46115,-7.82771,-7.82771,-7.82771,-7.21587,-7.21587,-7.21587,-6.65065,-6.65065,-6.65065,-6.1465,-6.1465,-6.1465
15,0.867622,-8.2395,-8.2395,-8.2395,-7.63388,-7.63388,-7.63388,-7.0448,-7.0448,-7.0448,-6.49666,-6.49666,-6.49666,-6.00418,-6.00418,-6.00418
16,0.939934,-8.04451,-8.04451,-8.04451,-7.46539,-7.46539,-7.46539,-6.8978,-6.8978,-6.8978,-6.36578,-6.36578,-6.36578,-5.88483,-5.88483,-5.88483
17,1.01437,-7.86962,-7.86962,-7.86962,-7.31626,-7.31626,-7.31626,-6.76915,-6.76915,-6.76915,-6.25249,-6.25249,-6.25249,-5.78278,-5.78278,-5.78278
18,1.09098,-7.71148,-7.71148,-7.71148,-7.18237,-7.18237,-7.18237,-6.65457,-6.65457,-6.65457,-6.15317,-6.15317,-6.15317,-5.69437,-5.69437,-5.69437
19,1.16984,-7.56955,-7.56955,-7.56955,-7.06159,-7.06159,-7.06159,-6.552,-6.552,-6.552,-6.06491,-6.06491,-6.06491,-5.61664,-5.61664,-5.61664
20,1.25101,-7.43845,-7.43845,-7.43845,-6.95091,-6.95091,-6.95091,-6.45872,-6.45872,-6.45872,-5.9851,-5.9851,-5.9851,-5.54739,-5.54739,-5.54739
21,1.33455,-7.31633,-7.31633,-7.31633,-6.84834,-6.84834,-6.84834,-6.37268,-6.37268,-6.37268,-5.91287,-5.91287,-5.91287,-5.48504,-5.48504,-5.48504
22,1.42055,-7.20217,-7.20217,-7.20192,-6.75254,-6.75254,-6.75254,-6.29354,-6.29354,-6.29354,-5.84597,-5.84597,-5.84597,-5.42824,-5.42824,-5.42824
23,1.50907,-7.09565,-7.09565,-7.09544,-6.66354,-6.66354,-6.66353,-6.21937,-6.21937,-6.21937,-5.78427,-5.78427,-5.78427,-5.37597,-5.37597,-5.37597
24,1.60018,-6.99558,-6.99558,-6.99524,-6.57965,-6.57965,-6.57965,-6.14947,-6.14947,-6.14947,-5.72653,-5.72653,-5.72653,-5.32754,-5.32754,-5.32754
25,1.69396,-6.90043,-6.90043,-6.89995,-6.49977,-6.49977,-6.49977,-6.08357,-6.08357,-6.08357,-5.67227,-5.67227,-5.67227,-5.28222,-5.28222,-5.28222
26,1.79048,-6.80981,-6.80981,-6.80896,-6.42367,-6.42367,-6.4236,-6.02061,-6.02061,-6.02061,-5.62064,-5.62064,-5.62064,-5.23951,-5.23951,-5.23951
27,1.88984,-6.7231,-6.72309,-6.72196,-6.3512,-6.3512,-6.35078,-5.96085,-5.96085,-5.96085,-5.57151,-5.57151,-5.57151,-5.19907,-5.19907,-5.19907
28,1.99211,-6.64034,-6.64023,-6.63873,-6.28149,-6.28149,-6.28117,-5.90354,-5.90354,-5.90354,-5.52456,-5.52456,-5.52456,-5.1605,-5.1605,-5.1605
29,2.09737,-6.56078,-6.56064,-6.55895,-6.21421,-6.21421,-6.2139,-5.84807,-5.84807,-5.84798,-5.4792,-5.4792,-5.4792,-5.12347,-5.12347,-5.12347
30,2.20572,-6.48413,-6.484,-6.48213,-6.14972,-6.14972,-6.14893,-5.79438,-5.79438,-5.79435,-5.43547,-5.43547,-5.43547,-5.08794,-5.08794,-5.08794
31,2.31725,-6.41004,-6.40981,-6.40786,-6.08725,-6.08725,-6.08628,-5.74267,-5.74267,-5.74258,-5.39323,-5.39323,-5.39323,-5.05334,-5.05334,-5.05334
32,2.43204,-6.33823,-6.33778,-6.33572,-6.02642,-6.02642,-6.02532,-5.69235,-5.69235,-5.69201,-5.35185,-5.35185,-5.35185,-5.01999,-5.01999,-5.01999
33,2.5502,-6.26867,-6.26803,-6.26562,-5.96722,-5.96708,-5.9658,-5.64316,-5.64316,-5.6427,-5.31182,-5.31182,-5.31178,-4.98724,-4.98724,-4.98724
34,2.67182,-6.20129,-6.20054,-6.1977,-5.9096,-5.90941,-5.90787,-5.59523,-5.59523,-5.59461,-5.2726,-5.2726,-5.27256,-4.95544,-4.95544,-4.95544
35,2.797,-6.13559,-6.13475,-6.13183,-5.85352,-5.85337,-5.85152,-5.54839,-5.54839,-5.54762,-5.23407,-5.23407,-5.23385,-4.92416,-4.92416,-4.92416
36,2.92586,-6.07144,-6.07048,-6.06747,-5.79863,-5.7984,-5.79642,-5.50245,-5.50245,-5.50152,-5.19646,-5.19646,-5.19617,-4.89353,-4.89353,-4.8935
37,3.05848,-6.00873,-6.00764,-6.00454,-5.74491,-5.7445,-5.7424,-5.45723,-5.45723,-5.45616,-5.15922,-5.15922,-5.15891,-4.86327,-4.86327,-4.86321
38,3.195,-5.94739,-5.94618,-5.943,-5.69214,-5.69158,-5.68938,-5.41309,-5.41294,-5.41158,-5.12262,-5.12262,-5.12211,-4.8334,-4.8334,-4.83329
39,3.33551,-5.88753,-5.88611,-5.88278,-5.64039,-5.6397,-5.63734,-5.3695,-5.36937,-5.36791,-5.08667,-5.08667,-5.08603,-4.80402,-4.80402,-4.80385
40,3.48015,-5.82905,-5.8274,-5.82382,-5.58964,-5.58889,-5.58622,-5.32641,-5.32636,-5.32471,-5.05102,-5.051,-5.05023,-4.77482,-4.77482,-4.7746
41,3.62902,-5.77161,-5.76982,-5.76604,-5.53972,-5.53885,-5.53607,-5.284,-5.28374,-5.282,-5.0157,-5.01568,-5.01482,-4.74589,-4.74589,-4.74556
42,3.78225,-5.71514,-5.71322,-5.70934,-5.49057,-5.48961,-5.48675,-5.24231,-5.24188,-5.23991,-4.98092,-4.98092,-4.97977,-4.71732,-4.71732,-4.71688
